word,syllable break,phoneme,syllabilized phonemes
palm,palm,p ˈɑ m,p ˈɑ m
tips,tips,t ˈɪ p s,t ˈɪ p s
transfer,trans.fer,t ɹ ˈæ n s f ɚ,t ɹ ˈæ n s . f ɚ
waves,waves,w ˈeɪ v z,w ˈeɪ v z
reaching,reach.ing,ɹ ˈi t͡ʃ ɪ ŋ,ɹ ˈi t͡ʃ . ɪ ŋ
transmits,trans.mits,t ɹ æ n z m ˈɪ t s,t ɹ æ n z . m ˈɪ t s
message,mes.sage,m ˈɛ s ɪ d͡ʒ,m ˈɛ s . ɪ d͡ʒ
dirty,dirt.y,d ˈɚ t i,d ˈɚ . t i
box,box,b ˈɑ k s,b ˈɑ k s
tidy,ti.dy,t ˈaɪ d i,t ˈaɪ . d i
cuttlefish,cut.tle.fish,k ˈʌ t ə l f ˌɪ ʃ,k ˈʌ t . ə l . f ˌɪ ʃ
neon,ne.on,n ˈi ɑ n,n ˈi . ɑ n
alien,a.li.en,ˈeɪ l i ə n,ˈeɪ . l i . ə n
tied,tied,t ˈaɪ d,t ˈaɪ d
grate,grate,ɡ ɹ ˈeɪ t,ɡ ɹ ˈeɪ t
riot,ri.ot,ɹ ˈaɪ ə t,ɹ ˈaɪ . ə t
reading,read.ing,ɹ ˈi d ɪ ŋ,ɹ ˈi . d ɪ ŋ
lessons,les.sons,l ˈɛ s ə n z,l ˈɛ s . ə n z
cow,cow,k ˈaʊ,k ˈaʊ
yummy,yum.my,j ˈʌ m i,j ˈʌ m . i
boys,boys,b ˈɔɪ z,b ˈɔɪ z
eats,eats,ˈi t s,ˈi t s
m,,ˈɛ m,
cup,cup,k ˈʌ p,k ˈʌ p
rim,rim,ɹ ˈɪ m,ɹ ˈɪ m
tongue,tongue,t ˈʌ ŋ,t ˈʌ ŋ
poking,pok.ing,p ˈoʊ k ɪ ŋ,p ˈoʊ k . ɪ ŋ
understatement,un.der.state.ment,ˈʌ n d ɚ s t ˌeɪ t m ə n t,ˈʌ n . d ɚ . s t ˌeɪ t . m ə n t
snooze,snooze,s n ˈu z,s n ˈu z
jumper,jump.er,d͡ʒ ˈʌ m p ɚ,d͡ʒ ˈʌ m . p ɚ
soft,soft,s ˈɔ f t,s ˈɔ f t
fuzzy,fuzz.y,f ˈʌ z i,f ˈʌ z . i
presents,pres.ents,p ɹ ɪ z ˈɛ n t s,p ɹ ɪ . z ˈɛ n t s
present,pre.sent,p ɹ ˈɛ z ə n t,p ɹ ˈɛ . z ə n t
underneath,un.der.neath,ˌʌ n d ɚ n ˈi θ,ˌʌ n . d ɚ . n ˈi θ
teddy,ted.dy,t ˈɛ d i,t ˈɛ d . i
bear,bear,b ˈɛ ɹ,b ˈɛ ɹ
paw,paw,p ˈɔ,p ˈɔ
print,print,p ɹ ˈɪ n t,p ɹ ˈɪ n t
poop,poop,p ˈu p,p ˈu p
bag,bag,b ˈæ ɡ,b ˈæ ɡ
pups,pups,p ˈʌ p s,p ˈʌ p s
squeaks,squeaks,s k w ˈi k s,s k w ˈi k s
underside,un.der.side,ˈʌ n d ɚ s ˌaɪ d,ˈʌ n . d ɚ . s ˌaɪ d
birthday,birth.day,b ˈɚ θ d ˌeɪ,b ˈɚ θ . d ˌeɪ
party,par.ty,p ˈɑ ɹ t i,p ˈɑ ɹ . t i
snap,snap,s n ˈæ p,s n ˈæ p
quest,quest,k w ˈɛ s t,k w ˈɛ s t
championship,cham.pi.on.ship,t͡ʃ ˈæ m p i ə n ʃ ˌɪ p,t͡ʃ ˈæ m . p i . ə n . ʃ ˌɪ p
swimmer,swim.mer,s w ˈɪ m ɚ,s w ˈɪ m . ɚ
spills,spills,s p ˈɪ l z,s p ˈɪ l z
taste,taste,t ˈeɪ s t,t ˈeɪ s t
sights,sights,s ˈaɪ t s,s ˈaɪ t s
snails,snails,s n ˈeɪ l z,s n ˈeɪ l z
trunks,trunks,t ɹ ˈʌ ŋ k s,t ɹ ˈʌ ŋ k s
flits,flits,f l ˈɪ t s,f l ˈɪ t s
fro,fro,f ɹ ˈoʊ,f ɹ ˈoʊ
questions,ques.tions,k w ˈɛ s t͡ʃ ə n z,k w ˈɛ s . t͡ʃ ə n z
friendships,friend.ships,f ɹ ˈɛ n d ʃ ɪ p s,f ɹ ˈɛ n d . ʃ ɪ p s
flips,flips,f l ˈɪ p s,f l ˈɪ p s
spins,spins,s p ˈɪ n z,s p ˈɪ n z
launches,launches,l ˈɔ n t͡ʃ ɪ z,l ˈɔ n t͡ʃ ɪ z
starry,star.ry,s t ˈɑ ɹ i,s t ˈɑ ɹ . i
otter,ot.ter,ˈɑ t ɚ,ˈɑ . t ɚ
balls,balls,b ˈɔ l z,b ˈɔ l z
gas,gas,ɡ ˈæ s,ɡ ˈæ s
friendship,friend.ship,f ɹ ˈɛ n d ʃ ɪ p,f ɹ ˈɛ n d . ʃ ɪ p
dolphin,dol.phin,d ˈɑ l f ə n,d ˈɑ l . f ə n
launch,launch,l ˈɔ n t͡ʃ,l ˈɔ n t͡ʃ
awe,awe,ˈɔ,ˈɔ
leap,leap,l ˈi p,l ˈi p
hardships,hard.ships,h ˈɑ ɹ d ʃ ɪ p s,h ˈɑ ɹ d . ʃ ɪ p s
homesick,home.sick,h ˈoʊ m s ˌɪ k,h ˈoʊ m . s ˌɪ k
snakes,snakes,s n ˈeɪ k s,s n ˈeɪ k s
relationship,re.la.tion.ship,ɹ i l ˈeɪ ʃ ə n ʃ ˌɪ p,ɹ i . l ˈeɪ . ʃ ə n . ʃ ˌɪ p
homeland,home.land,h ˈoʊ m l ˌæ n d,h ˈoʊ m . l ˌæ n d
toadpocalypse,toad.po.ca.lypse,t ˈoʊ d p ə k ə l ˈɪ p s,t ˈoʊ d p . ə k . ə l . ˈɪ p s
halfway,half.way,h ˈæ f w ˈeɪ,h ˈæ f . w ˈeɪ
continued,con.tin.ued,k ə n t ˈɪ n j u d,k ə n . t ˈɪ n . j u d
dander,dan.der,d ˈæ n d ɚ,d ˈæ n . d ɚ
weekend,week.end,w ˈi k ˌɛ n d,w ˈi . k ˌɛ n d
bleak,bleak,b l ˈi k,b l ˈi k
smoggy,smog.gy,s m ˈɔ ɡ i,s m ˈɔ ɡ . i
streets,streets,s t ɹ ˈi t s,s t ɹ ˈi t s
trash,trash,t ɹ ˈæ ʃ,t ɹ ˈæ ʃ
fronts,fronts,f ɹ ˈʌ n t s,f ɹ ˈʌ n t s
exclaimed,exclaimed,ɪ k s k l ˈeɪ m d,ɪ k s k l ˈeɪ m d
sunk,sunk,s ˈʌ ŋ k,s ˈʌ ŋ k
layer,lay.er,l ˈeɪ ɚ,l ˈeɪ . ɚ
goo,goo,ɡ ˈu,ɡ ˈu
lined,lined,l ˈaɪ n d,l ˈaɪ n d
organs,or.gans,ˈɔ ɹ ɡ ə n z,ˈɔ ɹ . ɡ ə n z
watched,watched,w ˈɔ t͡ʃ t,w ˈɔ t͡ʃ t
toad,toad,t ˈoʊ d,t ˈoʊ d
dangerous,dan.ger.ous,d ˈeɪ n d͡ʒ ɚ ə s,d ˈeɪ n . d͡ʒ ɚ . ə s
bowl,bowl,b ˈoʊ l,b ˈoʊ l
darker,dark.er,d ˈɑ ɹ k ɚ,d ˈɑ ɹ k . k ɚ
spilled,spilled,s p ˈɪ l d,s p ˈɪ l d
darren,dar.ren,d ˈɑ ɹ ə n,d ˈɑ . ɹ ə n
sucked,sucked,s ˈʌ k t,s ˈʌ k t
data,da.ta,d ˈæ t ə,d ˈæ . t ə
bare,bare,b ˈɛ ɹ,b ˈɛ ɹ
socks,socks,s ˈɑ k s,s ˈɑ k s
building,build.ing,b ˈɪ l d ɪ ŋ,b ˈɪ l . d ɪ ŋ
humans,hu.mans,h j ˈu m ə n z,h j ˈu . m ə n z
daughter,daugh.ter,d ˈɔ t ɚ,d ˈɔ . t ɚ
explained,ex.plained,ɪ k s p l ˈeɪ n d,ɪ k . s p l ˈeɪ n d
communities,com.mu.ni.ties,k ə m j ˈu n ɪ t i z,k ə . m j ˈu . n ɪ . t i z
clinging,cling.ing,k l ˈɪ ŋ ɪ ŋ,k l ˈɪ ŋ . ɪ ŋ
golf,golf,ɡ ˈɑ l f,ɡ ˈɑ l f
clubs,clubs,k l ˈʌ b z,k l ˈʌ b z
pitch,pitch,p ˈɪ t͡ʃ,p ˈɪ t͡ʃ
forks,forks,f ˈɔ ɹ k s,f ˈɔ ɹ k s
speak,speak,s p ˈi k,s p ˈi k
monsters,mon.sters,m ˈɑ n s t ɚ z,m ˈɑ n . s t ɚ z
hunting,hunt.ing,h ˈʌ n t ɪ ŋ,h ˈʌ n . t ɪ ŋ
stammered,stam.mered,s t ˈæ m ɚ d,s t ˈæ m . ɚ d
location,lo.ca.tion,l oʊ k ˈeɪ ʃ ə n,l oʊ . k ˈeɪ . ʃ ə n
objected,ob.ject.ed,ə b d͡ʒ ˈɛ k t ɪ d,ə b . d͡ʒ ˈɛ k t . ɪ d
city,cit.y,s ˈɪ t i,s ˈɪ t . i
toads,toads,t ˈoʊ d z,t ˈoʊ d z
upon,up.on,ə p ˈɑ n,ə . p ˈɑ n
foul,foul,f ˈaʊ l,f ˈaʊ l
pockets,pock.ets,p ˈɑ k ə t s,p ˈɑ . k ə t s
muscle,mus.cle,m ˈʌ s ə l,m ˈʌ s . ə l
bulging,bulg.ing,b ˈʌ l d͡ʒ ɪ ŋ,b ˈʌ l d͡ʒ . ɪ ŋ
forelimbs,fore.limbs,f ˈɔ ɹ l ˌɪ m z,f ˈɔ ɹ . l ˌɪ m z
brows,brows,b ɹ ˈaʊ z,b ɹ ˈaʊ z
forced,forced,f ˈɔ ɹ s t,f ˈɔ ɹ s t
decorate,dec.o.rate,d ˈɛ k ɚ ˌeɪ t,d ˈɛ k . k ɚ . ɹ ˌeɪ t
kidnapped,kid.napped,k ˈɪ d n ˌæ p t,k ˈɪ d . n ˌæ p t
taken,taken,t ˈeɪ k ə n,t ˈeɪ k ə n
careless,care.less,k ˈɛ ɹ l ə s,k ˈɛ ɹ . l ə s
predators,pred.a.tors,p ɹ ˈɛ d ə t ɚ z,p ɹ ˈɛ d . ə . t ɚ z
killed,killed,k ˈɪ l d,k ˈɪ l d
sneezed,sneezed,s n ˈi z d,s n ˈi z d
snot,snot,s n ˈɑ t,s n ˈɑ t
fleshy,flesh.y,f l ˈɛ ʃ i,f l ˈɛ ʃ . i
keeling,keel.ing,k ˈi l ɪ ŋ,k ˈi l . ɪ ŋ
struck,struck,s t ɹ ˈʌ k,s t ɹ ˈʌ k
sickness,sick.ness,s ˈɪ k n ə s,s ˈɪ k . n ə s
sniffed,sniffed,s n ˈɪ f t,s n ˈɪ f t
yelled,yelled,j ˈɛ l d,j ˈɛ l d
groups,groups,ɡ ɹ ˈu p s,ɡ ɹ ˈu p s
protecting,pro.tect.ing,p ɹ ə t ˈɛ k t ɪ ŋ,p ɹ ə . t ˈɛ k t . ɪ ŋ
almighty,al.might.y,ɔ l m ˈaɪ t i,ɔ l . m ˈaɪ . t i
sneezes,sneezes,s n ˈi z ɪ z,s n ˈi z ɪ z
launched,launched,l ˈɔ n t͡ʃ t,l ˈɔ n t͡ʃ t
bottled,bot.tled,b ˈɑ t ə l d,b ˈɑ . t ə l d
jar,jar,d͡ʒ ˈɑ ɹ,d͡ʒ ˈɑ ɹ
journey,jour.ney,d͡ʒ ˈɚ n i,d͡ʒ ˈɚ . n i
helped,helped,h ˈɛ l p t,h ˈɛ l p t
ended,ended,ˈɛ n d ɪ d,ˈɛ n d ɪ d
destroyed,destroyed,d ɪ s t ɹ ˈɔɪ d,d ɪ s t ɹ ˈɔɪ d
twelve,twelve,t w ˈɛ l v,t w ˈɛ l v
backpack,back.pack,b ˈæ k p ˌæ k,b ˈæ k . p ˌæ k
decorates,dec.o.rates,d ɪ k ɚ ˌeɪ t s,d ɪ k . k ɚ . ɹ ˌeɪ t s
definitely,def.i.nite.ly,d ˈɛ f ɪ n ɪ t l i,d ˈɛ f . f ɪ . n ɪ t . l i
hint,hint,h ˈɪ n t,h ˈɪ n t
hideous,hid.e.ous,h ˈɪ d i ə s,h ˈɪ d . i . ə s
teeth,teeth,t ˈi θ,t ˈi θ
claws,claws,k l ˈɔ z,k l ˈɔ z
nope,nope,n ˈoʊ p,n ˈoʊ p
beaming,beam.ing,b ˈi m ɪ ŋ,b ˈi m . ɪ ŋ
attic,at.tic,ˈæ t ɪ k,ˈæ t . ɪ k
film,film,f ˈɪ l m,f ˈɪ l m
searched,searched,s ˈɚ t͡ʃ t,s ˈɚ t͡ʃ t
stupid,stu.pid,s t ˈu p ɪ d,s t ˈu . p ɪ d
burned,burned,b ˈɚ n d,b ˈɚ n d
fiction,fic.tion,f ˈɪ k ʃ ə n,f ˈɪ k . ʃ ə n
careful,care.ful,k ˈɛ ɹ f ə l,k ˈɛ ɹ . f ə l
doubtless,doubt.less,d ˈaʊ t l ə s,d ˈaʊ t . l ə s
hoping,hop.ing,h ˈoʊ p ɪ ŋ,h ˈoʊ p . ɪ ŋ
using,us.ing,j ˈu z ɪ ŋ,j ˈu z . ɪ ŋ
fond,fond,f ˈɑ n d,f ˈɑ n d
secret,se.cret,s ˈi k ɹ ɪ t,s ˈi . k ɹ ɪ t
conversations,con.ver.sa.tions,k ˌɑ n v ɚ s ˈeɪ ʃ ə n z,k ˌɑ n . v ɚ . s ˈeɪ . ʃ ə n z
ambulance,am.bu.lance,ˈæ m b j ə l ə n s,ˈæ m . b j ə . l ə n s
paramedics,par.a.med.ics,p ˌɛ ɹ ə m ˈɛ d ɪ k s,p ˌɛ ɹ . ə . m ˈɛ d . ɪ k s
passed,passed,p ˈæ s t,p ˈæ s t
genuine,gen.u.ine,d͡ʒ ˈɛ n j u ɪ n,d͡ʒ ˈɛ n . j u . ɪ n
denial,de.ni.al,d ɪ n ˈaɪ ə l,d ɪ . n ˈaɪ . ə l
lived,lived,l ˈɪ v d,l ˈɪ v d
desire,de.sire,d ɪ z ˈaɪ ɚ,d ɪ . z ˈaɪ ɚ
messed,messed,m ˈɛ s t,m ˈɛ s t
known,known,n ˈoʊ n,n ˈoʊ n
staring,star.ing,s t ˈɛ ɹ ɪ ŋ,s t ˈɛ ɹ . ɪ ŋ
sir,sir,s ˈɚ,s ˈɚ
replied,replied,ɹ ɪ p l ˈaɪ d,ɹ ɪ p l ˈaɪ d
handed,hand.ed,h ˈæ n d ɪ d,h ˈæ n d . ɪ d
envelope,en.ve.lope,ˈɛ n v ə l ˌoʊ p,ˈɛ n . v ə . l ˌoʊ p
diagonally,di.ag.o.nal.ly,d aɪ ˈæ ɡ ə n ə l i,d aɪ . ˈæ ɡ . ə  . n ə l . i
scanned,scanned,s k ˈæ n d,s k ˈæ n d
letter,let.ter,l ˈɛ t ɚ,l ˈɛ t . ɚ
prove,prove,p ɹ ˈu v,p ɹ ˈu v
police,po.lice,p ə l ˈi s,p ə . l ˈi s
seize,seize,s ˈi z,s ˈi z
law,law,l ˈɔ,l ˈɔ
legacy,leg.a.cy,l ˈɛ ɡ ə s i,l ˈɛ ɡ . ə . s i
staying,stay.ing,s t ˈeɪ ɪ ŋ,s t ˈeɪ ɪ . ŋ
apart,a.part,ə p ˈɑ ɹ t,ə . p ˈɑ ɹ t
backpacks,back.packs,b ˈæ k p ˌæ k s,b ˈæ k . p ˌæ k s
jackets,jack.ets,d͡ʒ ˈæ k ɪ t s,d͡ʒ ˈæ k . ɪ t s
lugged,lugged,l ˈʌ ɡ ɪ d,l ˈʌ ɡ ɪ d
v,v,v ˈi,v ˈi
notice,no.tice,n ˈoʊ t ɪ s,n ˈoʊ . t ɪ s
dial,di.al,d ˈaɪ l,d ˈaɪ . l
surprised,sur.prised,s ə p ɹ ˈaɪ z d,s ə . p ɹ ˈaɪ z d
intuitive,in.tu.i.tive,ɪ n t ˈu ə t ɪ v,ɪ n . t ˈu . ə . t ɪ v
booted,boo.ted,b ˈu t ɪ d,b ˈu . t ɪ d
liquid,liq.uid,l ˈɪ k w ɪ d,l ˈɪ k . w ɪ d
swirl,swirl,s w ˈɚ l,s w ˈɚ l
strapped,strapped,s t ɹ ˈæ p t,s t ɹ ˈæ p t
rainy,rain.y,ɹ ˈeɪ n i,ɹ ˈeɪ . n i
season,sea.son,s ˈi z ə n,s ˈi . z ə n
buckets,buck.ets,b ˈʌ k ɪ t s,b ˈʌ k . ɪ t s
bathe,bathe,b ˈeɪ ð,b ˈeɪ ð
boil,boil,b ˈɔɪ l,b ˈɔɪ l
compels,com.pels,k ə m p ˈɛ l z,k ə m . p ˈɛ l z
dials,di.als,d ˈaɪ l z,d ˈaɪ . l z
background,back.ground,b ˈæ k ɡ ɹ ˌaʊ n d,b ˈæ k . ɡ ɹ ˌaʊ n d
pupils,pu.pils,p j ˈu p ə l z,p j ˈu . p ə l z
cooking,cook.ing,k ˈʊ k ɪ ŋ,k ˈʊ k . ɪ ŋ
cling,cling,k l ˈɪ ŋ,k l ˈɪ ŋ
petals,pet.als,p ˈɛ t ə l z,p ˈɛ t . ə l z
aw,aw,ˈɔ,ˈɔ
buzz,buzz,b ˈʌ z,b ˈʌ z
trunk,trunk,t ɹ ˈʌ ŋ k,t ɹ ˈʌ ŋ k
swarm,swarm,s w ˈɔ ɹ m,s w ˈɔ ɹ m
cave,cave,k ˈeɪ v,k ˈeɪ v
hive,hive,h ˈaɪ v,h ˈaɪ v
greet,greet,ɡ ɹ ˈi t,ɡ ɹ ˈi t
loom,loom,l ˈu m,l ˈu m
kim,kim,k ˈɪ m,k ˈɪ m
spell,spell,s p ˈɛ l,s p ˈɛ l
rug,rug,ɹ ˈʌ ɡ,ɹ ˈʌ ɡ
whoosh,whoosh,w ˈu ʃ,w ˈu ʃ
swoop,swoop,s w ˈu p,s w ˈu p
ride,ride,ɹ ˈaɪ d,ɹ ˈaɪ d
diamond,di.a.mond,d ˈaɪ m ə n d,d ˈaɪ . ə . m ə n d
hats,hats,h ˈæ t s,h ˈæ t s
protect,pro.tect,p ɹ ə t ˈɛ k t,p ɹ ə . t ˈɛ k t
shirts,shirts,ʃ ˈɚ t s,ʃ ˈɚ t s
pants,pants,p ˈæ n t s,p ˈæ n t s
scratches,scratch.es,s k ɹ ˈæ t͡ʃ ɪ z,s k ɹ ˈæ t͡ʃ . ɪ z
bites,bites,b ˈaɪ t s,b ˈaɪ t s
mower,mow.er,m ˈoʊ ɚ,m ˈoʊ . ɚ
clips,clips,k l ˈɪ p s,k l ˈɪ p s
lawn,lawn,l ˈɔ n,l ˈɔ n
trim,trim,t ɹ ˈɪ m,t ɹ ˈɪ m
shrubs,shrubs,ʃ ɹ ˈʌ b z,ʃ ɹ ˈʌ b z
mid,mid,m ˈɪ d,m ˈɪ d
toss,toss,t ˈɔ s,t ˈɔ s
hiss,hiss,h ˈɪ s,h ˈɪ s
fangs,fangs,f ˈæ ŋ z,f ˈæ ŋ z
venom,ven.om,v ˈɛ n ə m,v ˈɛ . n ə m
midday,mid.day,m ˈɪ d d ˌeɪ,m ˈɪ d . d ˌeɪ
harsh,harsh,h ˈɑ ɹ ʃ,h ˈɑ ɹ ʃ
weeds,weeds,w ˈi d z,w ˈi d z
ants,ants,ˈæ n t s,ˈæ n t s
hole,hole,h ˈoʊ l,h ˈoʊ l
weed,weed,w ˈi d,w ˈi d
midway,mid.way,m ˈɪ d w ˌeɪ,m ˈɪ d . w ˌeɪ
pizza,piz.za,p ˈi t s ə,p ˈi t . s ə
juggle,jug.gle,d͡ʒ ˈʌ ɡ ə l,d͡ʒ ˈʌ ɡ . ə l
flip,flip,f l ˈɪ p,f l ˈɪ p
slip,slip,s l ˈɪ p,s l ˈɪ p
juggles,jug.gles,d͡ʒ ˈʌ ɡ ə l z,d͡ʒ ˈʌ ɡ . ə l z
relax,re.lax,ɹ i l ˈæ k s,ɹ i . l ˈæ k s
puddles,pud.dles,p ˈʌ d ə l z,p ˈʌ d . ə l z
frogs,frogs,f ɹ ˈɑ ɡ z,f ɹ ˈɑ ɡ z
gumboots,gum.boots,ɡ ˈʌ m b ˈu t s,ɡ ˈʌ m . b ˈu t s
squelch,squelch,s k w ˈɛ l t͡ʃ,s k w ˈɛ l t͡ʃ
crisp,crisp,k ɹ ˈɪ s p,k ɹ ˈɪ s p
pelts,pelts,p ˈɛ l t s,p ˈɛ l t s
undercover,un.der.cov.er,ˌʌ n d ɚ k ˈʌ v ɚ,ˌʌ n . d ɚ . k ˈʌ v . ɚ
basis,ba.sis,b ˈeɪ s ɪ s,b ˈeɪ . s ɪ s
sit,sit,s ˈɪ t,s ˈɪ t
aloud,a.loud,ə l ˈaʊ d,ə . l ˈaʊ d
backing,back.ing,b ˈæ k ɪ ŋ,b ˈæ k . ɪ ŋ
seat,seat,s ˈi t,s ˈi t
desk,desk,d ˈɛ s k,d ˈɛ s k
sports,sports,s p ˈɔ ɹ t s,s p ˈɔ ɹ t s
trains,trains,t ɹ ˈeɪ n z,t ɹ ˈeɪ n z
paints,paints,p ˈeɪ n t s,p ˈeɪ n t s
carrots,car.rots,k ˈɛ ɹ ə t s,k ˈɛ ɹ . ə t s
marble,mar.ble,m ˈɑ ɹ b ə l,m ˈɑ ɹ . b ə l
planned,planned,p l ˈæ n d,p l ˈæ n d
diane,di.ane,d aɪ ˈæ n,d aɪ . ˈæ n
written,writ.ten,ɹ ˈɪ t ə n,ɹ ˈɪ t . ə n
surely,sure.ly,ʃ ˈʊ ɹ l i,ʃ ˈʊ ɹ . l i
worked,worked,w ˈɚ k t,w ˈɚ k t
digger,dig.ger,d ˈɪ ɡ ɚ,d ˈɪ ɡ . g ɚ
humble,hum.ble,h ˈʌ m b ə l,h ˈʌ m . b ə l
nakita,nak.i.ta,n ˈæ k ɪ t ə,n ˈæ . k ɪ . t ə
dino,di.no,d ˈi n oʊ,d ˈi . n oʊ
ditch,ditch,d ˈɪ t͡ʃ,d ˈɪ t͡ʃ
leg,leg,l ˈɛ ɡ,l ˈɛ ɡ
van,van,v ˈæ n,v ˈæ n
vet,vet,v ˈɛ t,v ˈɛ t
pats,pats,p ˈæ t s,p ˈæ t s
hugs,hugs,h ˈʌ ɡ z,h ˈʌ ɡ z
brains,brains,b ɹ ˈeɪ n z,b ɹ ˈeɪ n z
farts,farts,f ˈɔ ɹ t s,f ˈɔ ɹ t s
slime,slime,s l ˈaɪ m,s l ˈaɪ m
rot,rot,ɹ ˈɑ t,ɹ ˈɑ t
sugar,sug.ar,ʃ ˈʊ ɡ ɚ,ʃ ˈʊ ɡ . ɚ
bobs,bobs,b ˈɑ b z,b ˈɑ b z
milk,milk,m ˈɪ l k,m ˈɪ l k
whip,whip,w ˈɪ p,w ˈɪ p
?!,,?!,
puke,puke,p j ˈu k,p j ˈu k
pee,pee,p ˈi,p ˈi
dinos,di.nos,d ˈi n oʊ z,d ˈi . n oʊ z
toilet,toi.let,t ˈɔɪ l ɪ t,t ˈɔɪ . l ɪ t
pipes,pipes,p ˈaɪ p s,p ˈaɪ p s
cleaned,cleaned,k l ˈi n d,k l ˈi n d
treatment,treat.ment,t ɹ ˈi t m ə n t,t ɹ ˈi t . m ə n t
pipe,pipe,p ˈaɪ p,p ˈaɪ p
meets,meets,m ˈi t s,m ˈi t s
direction,di.rec.tion,d ɪ ɹ ˈɛ k ʃ ə n,d aɪ . ɹ ˈɛ k . ʃ ə n
soap,soap,s ˈoʊ p,s ˈoʊ p
junk,junk,d͡ʒ ˈʌ ŋ k,d͡ʒ ˈʌ ŋ k
sorted,sort.ed,s ˈɔ ɹ t ɪ d,s ˈɔ ɹ . t ɪ d
rakes,rakes,ɹ ˈeɪ k s,ɹ ˈeɪ k s
dump,dump,d ˈʌ m p,d ˈʌ m p
tanks,tanks,t ˈæ ŋ k s,t ˈæ ŋ k s
sprayed,sprayed,s p ɹ ˈeɪ d,s p ɹ ˈeɪ d
material,ma.te.ri.al,m ə t ˈɪ ɹ i ə l,m ə . t ˈɪ ɹ . i . ə l
soak,soak,s ˈoʊ k,s ˈoʊ k
cleaner,clean.er,k l ˈi n ɚ,k l ˈi . n ɚ
stages,stag.es,s t ˈeɪ d͡ʒ ɪ z,s t ˈeɪ d͡ʒ . ɪ z
stage,stage,s t ˈeɪ d͡ʒ,s t ˈeɪ d͡ʒ
settles,set.tles,s ˈɛ t ə l z,s ˈɛ t . ə l z
sink,sink,s ˈɪ ŋ k,s ˈɪ ŋ k
drained,drained,d ɹ ˈeɪ n d,d ɹ ˈeɪ n d
waste,waste,w ˈeɪ s t,w ˈeɪ s t
harm,harm,h ˈɑ ɹ m,h ˈɑ ɹ m
saves,saves,s ˈeɪ v z,s ˈeɪ v z
disinfect,dis.in.fect,d ɪ s ɪ n f ˈɛ k t,d ɪ s . ɪ n . f ˈɛ k t
chemicals,chem.i.cals,k ˈɛ m ɪ k ə l z,k ˈɛ m . ɪ . k ə l z
released,re.leased,ɹ i l ˈi s t,ɹ i . l ˈi s t
cycle,cy.cle,s ˈaɪ k ə l,s ˈaɪ . k ə l
directions,di.rec.tions,d ɪ ɹ ˈɛ k ʃ ə n z,d aɪ . ɹ ˈɛ k . ʃ ə n z
impact,im.pact,ˈɪ m p æ k t,ˈɪ m . p æ k t
drinking,drink.ing,d ɹ ˈɪ ŋ k ɪ ŋ,d ɹ ˈɪ ŋ . k ɪ ŋ
bathing,bath.ing,b ˈeɪ ð ɪ ŋ,b ˈeɪ . ð ɪ ŋ
cleaning,clean.ing,k l ˈi n ɪ ŋ,k l ˈi . n ɪ ŋ
leads,leads,l ˈi d z,l ˈi d z
learned,learned,l ˈɚ n d,l ˈɚ n d
scoop,scoop,s k ˈu p,s k ˈu p
jill,jill,d͡ʒ ˈɪ l,d͡ʒ ˈɪ l
nook,nook,n ˈʊ k,n ˈʊ k
drinks,drinks,d ɹ ˈɪ ŋ k s,d ɹ ˈɪ ŋ k s
stew,stew,s t ˈu,s t ˈu
upbeat,up.beat,ˈʌ p b ˌi t,ˈʌ p . b ˌi t
men,men,m ˈɛ n,m ˈɛ n
upstairs,up.stairs,ʌ p s t ˈɛ ɹ z,ʌ p . s t ˈɛ ɹ z
uproar,up.roar,ˈʌ p ɹ ˌɔ ɹ,ˈʌ p . ɹ ˌɔ ɹ
crows,crows,k ɹ ˈoʊ z,k ɹ ˈoʊ z
loud,loud,l ˈaʊ d,l ˈaʊ d
fuss,fuss,f ˈʌ s,f ˈʌ s
jail,jail,d͡ʒ ˈeɪ l,d͡ʒ ˈeɪ l
upgrade,up.grade,ˈʌ p ɡ ɹ ˌeɪ d,ˈʌ p . ɡ ɹ ˌeɪ d
drift,drift,d ɹ ˈɪ f t,d ɹ ˈɪ f t
beasts,beasts,b ˈi s t s,b ˈi s t s
peer,peer,p ˈɪ ɹ,p ˈɪ ɹ
feeds,feeds,f ˈi d z,f ˈi d z
sheet,sheet,ʃ ˈi t,ʃ ˈi t
clank,clank,k l ˈæ ŋ k,k l ˈæ ŋ k
disappearances,dis.a.ppear.ance.s,d ˌɪ s ə p ˈɪ ɹ ə n s ɪ z,d ˌɪ s . s ə . p ˈɪ ɹ . ə n s . ɪ z
golem,go.lem,ɡ ˈoʊ l ə m,ɡ ˈoʊ . l ə m
circles,cir.cles,s ˈɚ k ə l z,s ˈɚ . k ə l z
defend,de.fend,d ɪ f ˈɛ n d,d ɪ . f ˈɛ n d
steer,steer,s t ˈɪ ɹ,s t ˈɪ ɹ
stones,stones,s t ˈoʊ n z,s t ˈoʊ n z
clink,clink,k l ˈɪ ŋ k,k l ˈɪ ŋ k
discovery,dis.cov.er.y,d ɪ s k ˈʌ v ɚ i,d ɪ s . k ˈʌ v . ɚ . i
mob,mob,m ˈɑ b,m ˈɑ b
hit,hit,h ˈɪ t,h ˈɪ t
link,link,l ˈɪ ŋ k,l ˈɪ ŋ k
rump,rump,ɹ ˈʌ m p,ɹ ˈʌ m p
